,Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received,Gls 90,Ast 90,G+A 90,G-PK 90,G+A-PK,xG 90,xAG 90,xG+xAG,npxG 90,npxG+xAG 90,Matches,A-xAG,Crosses into Penalty Area,Key Passes,Long Passes Attempted,Long Passes Completed,Long Passes Success %,Medium Passes Attempted,Medium Passes Completed,Medium Passes Success %,Passes into Final Third,Passes into Penalty Area,Progressive Passing Distance,Short Passes Attenpted,Short Passes Completed,Short Passes Success %,Total Passes Attempted,Total Passes Completed,Total Passes Success %,Total Passing Distance,xA,Corner Kick Outward,Corner Kick Straight,Corner Kicks,Corner Kicks Inward,Crosses,Dead-ball Passes,Free Kicks Passes,Live-ball Passes,Passes Blocked by Opponent,Passes Completed,Passes Offside,Switches,Through Balls,Throw Ins,% Dribblers Tackled,Challenges Lost,Clearances,Defensive Errors,Dribblers Tackled,Dribbles Challenged,Interceptions,Passes Blocked,Shots Blocked,Tackles,Tackles Att 3rd,Tackles Def 3rd,Tackles Mid 3rd,Tackles Won,Tackles+Interceptions,Total Blocks
0,1,Matías Abaldo,uy URU,"MF,FW",Gimnasia ELP,20-025,2004,7,5,427,4.7,0,1,1,0,0,0,0,1,0.5,0.5,0.7,1.2,16,14,38,0.00,0.21,0.21,0.00,0.21,0.10,0.15,0.25,0.10,0.25,Matches,+0.3,2,5,16,7,43.8,31,20,64.5,12,4,363,58,43,74.1,119,75,63.0,1093,0.4,0,0,1,0,13,4,1,114,4,75,1,1,1,1,25.0,3,2,0,1,4,2,4,0,4,1,3,0,2,6,4
1,2,Luciano Abecasis,ar ARG,"MF,DF",Independiente Rivadavia,33-329,1990,12,10,860,9.6,1,1,2,1,0,0,4,0,0.1,0.1,1.3,1.4,12,43,29,0.10,0.10,0.21,0.10,0.21,0.01,0.14,0.14,0.01,0.14,Matches,-0.3,8,16,79,38,48.1,134,107,79.9,42,13,1675,162,139,85.8,396,289,73.0,5191,1.6,0,0,0,0,29,36,2,359,12,289,1,6,0,34,50.0,12,10,1,12,24,2,10,1,19,0,4,15,11,21,11
2,3,Ramón Ábila,ar ARG,FW,Barracas Central,34-197,1989,9,0,184,2.0,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,7,2,18,0.00,0.00,0.00,0.00,0.00,0.39,0.08,0.47,0.39,0.47,Matches,-0.2,0,4,3,3,100.0,14,8,57.1,0,1,62,15,13,86.7,43,26,60.5,375,0.1,0,0,0,0,1,4,0,39,3,26,0,0,0,0,0.0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4,Jonás Acevedo,ar ARG,"MF,FW",Instituto,27-082,1997,9,6,555,6.2,0,2,2,0,0,0,1,1,0.9,0.9,2.0,2.9,17,27,29,0.00,0.32,0.32,0.00,0.32,0.15,0.32,0.47,0.15,0.47,Matches,0.0,2,14,35,16,45.7,85,59,69.4,18,6,891,97,86,88.7,234,163,69.7,2756,2.1,11,0,19,7,33,28,6,205,9,163,1,3,1,2,46.7,8,1,0,7,15,3,6,1,13,4,5,4,7,16,7
4,5,Guillermo Acosta,ar ARG,MF,Tucumán,35-180,1988,10,10,782,8.7,1,0,1,1,0,0,2,0,0.4,0.4,0.6,1.0,12,55,12,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.12,0.05,0.12,Matches,-0.6,1,9,57,42,73.7,159,126,79.2,35,9,2066,134,108,80.6,368,281,76.4,5588,0.6,1,0,1,0,7,16,11,350,7,281,2,8,1,4,64.7,6,15,1,11,17,12,3,1,17,0,5,12,9,29,4
5,6,Lucas Acosta,ar ARG,GK,Lanús,29-047,1995,14,14,1260,14.0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.00,Matches,+1.0,0,1,319,113,35.4,80,78,97.5,14,3,6450,32,32,100.0,435,224,51.5,8005,0.1,0,0,0,0,0,182,62,250,0,224,3,0,0,1,,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,Walter Acuña,ar ARG,"MF,FW",Deportivo Riestra,32-055,1992,6,5,353,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,11,19,23,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.20,0.10,0.20,Matches,-0.4,1,4,17,10,58.8,32,23,71.9,7,5,492,58,43,74.1,120,79,65.8,1288,0.5,1,0,2,0,6,10,2,110,7,79,0,0,0,1,33.3,4,5,0,2,6,2,3,0,5,1,3,1,2,7,3
7,8,Pablo Adorno,py PAR,DF,Tigre,28-082,1996,4,4,330,3.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,0.0,0,0,24,11,45.8,56,50,89.3,6,1,848,38,36,94.7,121,97,80.2,1846,0.0,0,0,0,0,0,9,5,110,1,97,2,2,0,4,16.7,5,23,1,1,6,3,4,3,5,0,2,3,2,8,7
8,9,Luis Advíncula,pe PER,"DF,MF",Boca Juniors,34-057,1990,14,12,1088,12.1,0,2,2,0,0,0,0,0,0.6,0.6,1.5,2.1,34,50,71,0.00,0.17,0.17,0.00,0.17,0.05,0.12,0.18,0.05,0.18,Matches,+0.5,9,14,72,41,56.9,199,160,80.4,33,17,2470,282,248,87.9,586,459,78.3,7540,1.4,0,0,0,0,44,101,6,484,14,459,1,4,1,95,70.0,6,14,0,14,20,13,7,3,26,2,12,12,18,39,10
9,10,Felipe Aguilar,co COL,DF,Independiente,31-099,1993,8,7,647,7.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,17,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,0.0,0,0,33,18,54.5,155,140,90.3,15,1,2188,91,81,89.0,285,243,85.3,4703,0.1,0,0,0,0,0,9,8,276,1,243,0,3,0,1,50.0,3,39,1,3,6,8,2,3,12,0,7,5,7,20,5
10,11,Emanuel Aguilera,ar ARG,DF,Defensa y Just,34-322,1989,10,10,900,10.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,9,22,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,0.0,0,0,83,47,56.6,211,182,86.3,30,1,2336,108,99,91.7,414,333,80.4,7081,0.1,0,0,0,0,0,19,17,393,2,333,2,14,0,2,50.0,5,43,0,5,10,16,8,4,6,0,6,0,6,22,12
11,12,Augusto Aguirre,ar ARG,DF,Tigre,24-270,1999,7,6,472,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,17,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,0.0,0,0,44,24,54.5,109,92,84.4,17,0,1556,89,79,88.8,256,197,77.0,3719,0.1,0,0,0,0,1,11,6,243,3,197,2,1,0,5,62.5,3,18,1,5,8,13,4,2,9,1,5,3,9,22,6
12,13,Braian Aguirre,ar ARG,"DF,FW",Lanús,23-275,2000,13,12,1040,11.6,1,1,2,1,0,0,6,0,1.4,1.4,1.6,3.0,21,49,56,0.09,0.09,0.17,0.09,0.17,0.12,0.14,0.26,0.12,0.26,Matches,-0.6,4,9,75,42,56.0,169,129,76.3,27,8,2640,160,131,81.9,444,315,70.9,5671,1.2,0,0,0,0,27,101,9,339,15,315,4,6,1,92,60.5,15,18,0,23,38,7,11,1,34,6,15,13,18,41,12
13,14,Brian Aguirre,ar ARG,FW,Newell's OB,20-332,2003,13,9,824,9.2,1,1,2,1,0,0,2,0,1.0,1.0,0.3,1.3,41,22,89,0.11,0.11,0.22,0.11,0.22,0.11,0.04,0.15,0.11,0.15,Matches,+0.7,4,7,45,18,40.0,70,36,51.4,18,10,769,126,102,81.0,266,163,61.3,2499,0.6,3,0,8,4,43,16,6,249,9,163,1,3,1,2,50.0,4,0,0,4,8,3,7,1,12,5,2,5,8,15,8
14,15,Manuel Agustín Duarte,ar ARG,"FW,MF",Barracas Central,22-249,2001,8,1,255,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,9,12,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,-0.1,0,3,6,1,16.7,22,17,77.3,5,3,237,40,38,95.0,77,56,72.7,783,0.1,1,0,2,0,2,3,0,72,4,56,2,1,0,1,50.0,6,5,0,6,12,2,8,0,10,0,5,5,7,12,8
15,16,Gabriel Alanís,ar ARG,"MF,FW",Defensa y Just,30-043,1994,11,6,546,6.1,1,1,2,1,0,0,2,0,1.2,1.2,0.2,1.4,17,10,40,0.16,0.16,0.33,0.16,0.33,0.20,0.03,0.23,0.20,0.23,Matches,+0.8,1,4,20,11,55.0,32,24,75.0,3,3,285,62,54,87.1,126,93,73.8,1486,0.1,0,0,0,0,5,9,3,116,4,93,1,4,1,3,44.4,5,5,0,4,9,1,4,1,14,4,2,8,7,15,5
16,17,Fernando Alarcón,ar ARG,DF,Instituto,29-317,1994,14,14,1260,14.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,7,31,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,-0.1,0,3,122,52,42.6,188,155,82.4,32,1,2903,127,98,77.2,460,311,67.6,6517,0.1,0,0,0,0,0,42,41,418,8,311,0,4,0,1,76.0,6,73,0,19,25,12,6,10,31,3,17,11,21,43,16
17,18,William Alarcón,cl CHI,MF,CA Huracán,23-160,2000,13,13,1101,12.2,2,3,5,2,0,0,1,0,0.5,0.5,1.8,2.3,17,100,23,0.16,0.25,0.41,0.16,0.41,0.04,0.15,0.19,0.04,0.19,Matches,+1.2,2,11,66,51,77.3,221,201,91.0,73,11,3124,241,218,90.5,547,476,87.0,8477,1.7,0,0,0,0,5,19,16,526,6,476,2,6,4,2,52.6,9,14,0,10,19,9,3,0,15,3,5,7,5,24,3
18,19,Brahian Alemán,uy URU,MF,Tigre,34-127,1989,11,9,706,7.8,0,0,0,0,0,0,2,1,1.0,1.0,0.8,1.9,11,48,30,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.24,0.13,0.24,Matches,-0.8,2,12,88,33,37.5,114,80,70.2,41,7,1648,148,121,81.8,372,243,65.3,4330,1.2,10,0,23,13,49,52,25,319,5,243,1,8,3,3,36.8,12,11,1,7,19,4,7,1,16,1,6,9,11,20,8
19,20,Brian Alexis Leizza,ar ARG,DF,CC Córdoba,24-000,2000,6,3,334,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,9,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,0.0,0,0,29,13,44.8,68,57,83.8,8,0,1106,46,42,91.3,154,115,74.7,2231,0.0,0,0,0,0,1,18,9,135,5,115,1,2,0,8,60.0,2,9,0,3,5,8,4,2,6,0,5,1,3,14,6
20,21,Franco Alfonso,ar ARG,"MF,FW",CA Huracán,21-360,2002,13,3,431,4.8,0,1,1,0,0,0,3,0,0.3,0.3,1.0,1.2,15,16,34,0.00,0.21,0.21,0.00,0.21,0.06,0.20,0.26,0.06,0.26,Matches,0.0,3,12,25,14,56.0,62,44,71.0,12,8,761,124,106,85.5,224,167,74.6,2531,1.1,4,0,5,1,16,9,2,214,7,167,1,3,1,2,30.0,7,5,0,3,10,1,4,0,6,0,2,4,3,7,4
21,22,Rodrigo Aliendro,ar ARG,MF,River Plate,33-072,1991,13,12,848,9.4,0,2,2,0,0,0,3,0,1.0,1.0,0.8,1.7,8,57,36,0.00,0.21,0.21,0.00,0.21,0.10,0.08,0.18,0.10,0.18,Matches,+1.2,0,17,38,22,57.9,217,183,84.3,51,6,2150,221,181,81.9,509,395,77.6,6524,1.0,0,0,0,0,8,15,9,491,9,395,3,1,3,6,58.3,10,6,0,14,24,9,19,4,23,4,6,13,15,32,23
22,23,Agustín Almendra,ar ARG,MF,Racing Club,24-077,2000,11,10,698,7.8,1,1,2,1,0,0,2,0,0.7,0.7,1.1,1.8,5,35,14,0.13,0.13,0.26,0.13,0.26,0.09,0.15,0.24,0.09,0.24,Matches,-0.1,0,7,63,33,52.4,114,96,84.2,27,4,1298,155,132,85.2,345,268,77.7,4731,0.5,0,0,9,7,11,27,10,318,4,268,0,4,2,8,52.2,11,12,0,12,23,11,15,2,29,1,13,15,17,40,17
23,24,Facundo Altamira,,GK,Godoy Cruz,,,8,6,492,5.5,2,0,2,2,0,0,0,0,,,,,,,,0.37,0.00,0.37,0.37,0.37,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,3,,,,,,,5,,
24,25,Facundo Altamirano,ar ARG,GK,San Lorenzo,28-038,1996,12,12,1073,11.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,-0.5,0,3,250,117,46.8,52,52,100.0,19,0,6998,12,12,100.0,316,181,57.3,7732,0.1,0,0,0,0,0,122,31,192,0,181,2,1,0,0,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0
25,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,A-xAG,CrsPA,KP,Att,Cmp,Cmp%,Att,Cmp,Cmp%,1/3,PPA,PrgDist,Att,Cmp,Cmp%,Att,Cmp,Cmp%,TotDist,xA,Out,Str,CK,In,Crs,Dead,FK,Live,Blocks,Cmp,Off,Sw,TB,TI,Tkl%,Lost,Clr,Err,Tkl,Att,Int,Pass,Sh,Tkl,Att 3rd,Def 3rd,Mid 3rd,TklW,Tkl+Int,Blocks
26,26,Fabio Álvarez,ar ARG,MF,Lanús,31-096,1993,8,0,151,1.7,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.8,2,14,5,0.60,0.00,0.60,0.60,0.60,0.11,0.35,0.46,0.11,0.46,Matches,-0.6,1,6,16,11,68.8,39,35,89.7,9,3,410,44,37,84.1,104,86,82.7,1490,0.5,1,0,1,0,3,3,2,100,0,86,1,1,1,0,12.5,7,1,0,1,8,1,1,0,1,0,0,1,0,2,1
27,27,Francisco Álvarez,ar ARG,DF,Argentinos Jun,24-062,2000,10,6,633,7.0,0,0,0,0,0,0,2,1,0.2,0.2,0.1,0.2,4,19,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,-0.1,0,1,57,35,61.4,151,141,93.4,12,0,1588,97,86,88.7,315,265,84.1,5185,0.0,0,0,0,0,0,23,13,291,2,265,1,3,2,1,70.0,3,40,1,7,10,10,0,8,12,0,5,7,5,22,8
28,28,Juan Álvarez,ar ARG,MF,Banfield,28-078,1996,7,7,547,6.1,0,0,0,0,0,0,1,0,0.2,0.2,2.0,2.1,20,17,58,0.00,0.00,0.00,0.00,0.00,0.03,0.32,0.35,0.03,0.35,Matches,-2.0,8,16,42,21,50.0,64,39,60.9,9,12,944,68,51,75.0,187,112,59.9,2159,0.8,13,0,17,0,49,31,9,156,9,112,0,0,0,5,41.7,7,2,0,5,12,2,9,0,9,1,1,7,5,11,9
29,29,Maximiliano Álvez,ar ARG,FW,CC Córdoba,20-157,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0,0,4,2,50.0,4,3,75.0,2,0,72,6,5,83.3,16,10,62.5,179,0.0,0,0,1,1,3,1,0,15,1,10,0,0,0,0,0.0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
30,30,Alfredo Amarilla,py PAR,MF,Sarmiento,22-235,2001,7,1,211,2.3,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,3,16,6,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.07,0.01,0.07,Matches,-0.2,0,1,7,0,0.0,42,37,88.1,8,2,452,31,20,64.5,92,58,63.0,1003,0.2,0,0,0,0,3,3,2,87,7,58,2,0,0,1,33.3,8,1,0,4,12,2,2,3,8,1,4,3,7,10,5
31,31,Lucas Ambrogio,ar ARG,"MF,FW",Tucumán,24-289,1999,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,0.0,0,0,1,1,100.0,0,0,,1,0,22,0,0,,2,1,50.0,36,0.0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,66.7,1,0,0,2,3,0,0,0,2,0,1,1,2,2,0
32,32,Juan Andrada,ar ARG,MF,Godoy Cruz,29-115,1995,7,6,388,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,19,1,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,-0.2,0,5,38,32,84.2,77,72,93.5,13,2,1176,57,52,91.2,180,158,87.8,3370,0.3,0,0,0,0,0,5,5,175,3,158,0,3,1,0,44.4,5,4,0,4,9,5,6,1,14,1,3,10,9,19,7
33,33,Federico Andueza,uy URU,DF,CC Córdoba,26-339,1997,3,3,203,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0,0,21,11,52.4,27,22,81.5,4,0,649,16,15,93.8,68,49,72.1,1104,0.0,0,0,0,0,1,12,7,56,1,49,0,0,0,3,50.0,1,6,0,1,2,2,0,1,1,0,0,1,1,3,1
34,34,Miguel Ángel Torrén,ar ARG,DF,CA Unión,35-260,1988,11,9,780,8.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,2,15,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,-0.1,0,2,109,78,71.6,148,128,86.5,10,1,2481,75,64,85.3,334,271,81.1,6499,0.0,0,0,0,0,0,35,22,299,0,271,0,3,0,3,66.7,3,46,0,6,9,9,4,6,11,1,7,3,9,20,10
35,35,Luis Angulo,co COL,MF,Platense,20-036,2004,2,0,66,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,4,,
36,36,Luis Angulo,co COL,MF,Talleres,20-036,2004,1,0,34,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,3,,
